date,player1,player2,winner,score,sets_detail,tournament,level,country1,country2
2026-03-24,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-24,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-24,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-24,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-24,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-24,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-23,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-23,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-23,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-23,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-23,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-23,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-23,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-23,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-23,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-23,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-23,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-23,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-23,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-23,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-23,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-22,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-22,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-22,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-22,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-22,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-22,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-22,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-22,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-22,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-22,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-22,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-22,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-22,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-22,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-22,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-21,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-21,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-21,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-21,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-21,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-21,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-21,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-21,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-21,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-21,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-21,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-21,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-21,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-21,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-21,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-20,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-20,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-20,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-20,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-20,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-20,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-20,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-20,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-20,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-20,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-20,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-20,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-20,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-20,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-20,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-19,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-19,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-19,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-19,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-19,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-19,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-19,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-19,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-19,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-19,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-19,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-19,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-19,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-19,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-19,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-18,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-18,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-18,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-18,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-18,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-18,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-18,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-18,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-18,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-18,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-18,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-18,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-18,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-18,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-18,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-17,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-17,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-17,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-17,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-17,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-17,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-17,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-17,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-17,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-17,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-17,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-17,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-17,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-17,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-17,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-16,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-16,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-16,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-16,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-16,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-16,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-16,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-16,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-16,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-16,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-16,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-16,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-16,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-16,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-16,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-15,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-15,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-15,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-15,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-15,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-15,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-15,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-15,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-15,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-15,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-15,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-15,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-15,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-15,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-15,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-14,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-14,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-14,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-14,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-14,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-14,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-14,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-14,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-14,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-14,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-14,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-14,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-14,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-14,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-14,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-13,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-13,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-13,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-13,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-13,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-13,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-13,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-13,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-13,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-13,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-13,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-13,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-13,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-13,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-13,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-12,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-12,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-12,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-12,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-12,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-12,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-12,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-12,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-12,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-12,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-12,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-12,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-12,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-12,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-12,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-11,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-11,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-11,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-11,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-11,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-11,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-11,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-11,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-11,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-11,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-11,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-11,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-11,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-11,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-11,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-10,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-10,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-10,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-10,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-10,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-10,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-10,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-10,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-10,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-10,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-10,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-10,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-10,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-10,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-10,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
